index	sentence	Disease	Mutation	prediction
15	However, while the rs299290 variant represents a missense change predicted to be benign (V368A; concordant predictions for PolyPhen-2 and SIFT were obtained), it is in linkage disequilibrium (according to HapMap Caucasians data: D' = 1 and r2 = 0.48) with rs299284 (R92C in Entrez accession number NP_036616), which is predicted to be damaging	SIFT	rs299290	
16	However, while the rs299290 variant represents a missense change predicted to be benign (V368A; concordant predictions for PolyPhen-2 and SIFT were obtained), it is in linkage disequilibrium (according to HapMap Caucasians data: D' = 1 and r2 = 0.48) with rs299284 (R92C in Entrez accession number NP_036616), which is predicted to be damaging	SIFT	V368A	
17	However, while the rs299290 variant represents a missense change predicted to be benign (V368A; concordant predictions for PolyPhen-2 and SIFT were obtained), it is in linkage disequilibrium (according to HapMap Caucasians data: D' = 1 and r2 = 0.48) with rs299284 (R92C in Entrez accession number NP_036616), which is predicted to be damaging	SIFT	rs299284	
18	However, while the rs299290 variant represents a missense change predicted to be benign (V368A; concordant predictions for PolyPhen-2 and SIFT were obtained), it is in linkage disequilibrium (according to HapMap Caucasians data: D' = 1 and r2 = 0.48) with rs299284 (R92C in Entrez accession number NP_036616), which is predicted to be damaging	SIFT	R92C	
19	In data provided by several CIMBA groups (Text S1), no ER-positive tumors were observed among rare rs299290 homozygotes in BRCA1 mutation carriers (p interaction = 0.006), whereas this bias was not observed in BRCA2 mutation carriers (p interaction = 0.95) (Table S4)	tumors	rs299290	
20	That is, despite the expected differences in the frequency of tumor types between the two sets of carriers, heterogeneity was observed in the distribution of rs299290 genotypes in BRCA1, but not BRCA2, mutation carriers	tumor	rs299290	
21	Importantly, both proteasome inhibition and BRCA1 depletion increased the abundance of RHAMM (Figure S7), which is also consistent with observed RHAMM over-expression in breast cancer cell lines derived from BRCA1 mutation carriers	breast cancer	S7	
22	This model is consistent with reduced expression of AURKA, TPX2, and HMMR, but to a lesser extent BRCA1, with polarization and growth arrest of nonmalignant mammary epithelial cells, as measured by gene expression profiling (Figure S11A)	growth arrest	S11A	
23	Accordingly, BRCA1 depletion increases the clonogenic potential of mammary epithelia, while a BRCA1 S308A mutant alters embryonic stem cell differentiation	epithelia	S308A	
24	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Contra el Cancer	C1287/A8874	
25	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Childhood Cancer	C1287/A8874	
26	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	cancer	C1287/A8874	
27	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Hereditary Tumors	C1287/A8874	
28	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Breast Cancer	C1287/A8874	
29	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Breast Cancer	C1287/A8874	
30	"This work was funded by the Spanish Ministries of Health, and Science ane Innovation (CB07/02/2005; FIS 08/1120, 08/1359, 08/1635, and 09/02483; RTICCC RD06/0020/1060 and RD06/0020/0028; Transversal Action Against Cancer; the Spanish Biomedical Research Centre Networks for Epidemiology and Public Health, and Rare Diseases; and the ""Ramon y Cajal"" Young Investigator Program), the Spanish National Society of Medical Oncology (2010), the Spanish Association Against Cancer (AECC 2010), the AGAUR Catalan Government Agency (2009SGR1489 and 2009SGR293; and the Beatriu Pinos Postdoctoral Program), the Ramon Areces Foundation (XV), the ""Roses Contra el Cancer"" Foundation, the Michael Cuccione Foundation for Childhood Cancer Research, Cancer Research-UK (C490/A10119, C1287/A8874, C1287/A10118, C5047/A8385, and C8197/A10123), the National Institute for Health Research (UK), the Association for International Cancer Research (AICR-07-0454), the Ligue National Contre le Cancer (France), the Association ""Le cancer du sein, parlons-en!"", the Dutch Cancer Society (NKI 1998-1854, 2004-3088, and 2007-3756), the Fondazione Italiana per la Ricerca sul Cancro (""Hereditary Tumors""), the Associazione Italiana per la Ricerca sul Cancro (4017), the Italian Ministero della Salute (RFPS-2006-3-340203 and ""Progetto Tumori Femminili""), the Italian Ministero dell'Universita' e Ricerca (RBLAO3-BETH), the Fondazione IRCCS Istituto Nazionale Tumori (INT ""5x1000""), the Fondazione Cassa di Risparmio di Pisa (Istituto Toscano Tumori), the National Breast Cancer Foundation (Australia), the Australian National Health and Medical Research Council (145684, 288704, and 454508), the Queensland Cancer Fund, the Cancer Councils of New South Wales, Victoria, Tasmania, and South Australia, the Cancer Foundation of Western Australia, the German Cancer Aid (107054), the Center for Molecular Medicine Cologne (TV93), the National Cancer Institute (USA; CA128978 and CA122340), National Institutes of Health (RFA-CA-06-503, BCFR U01 CA69398, CA69417, CA69446, CA69467, CA69631, and CA69638), the Research Triangle Institute Informatics Support Center (RFP N02PC45022-46), the Specialized Program of Research Excellence (SPORE P50 CA83638 and CA113916), the Department of Defense Breast Cancer Research Program (05/0612), the Eileen Stein Jacoby Fund, the Breast Cancer Research Foundation, the Marianne and Robert MacDonald Foundation, the Komen Foundation, the Helsinki University Central Hospital Research Fund, the Academy of Finland (110663), the Finnish Cancer Society, the Sigrid Juselius Foundation, and the EU FP7 (223175, HEALTH-F2-2009-223175)"	Breast Cancer	C1287/A8874	
31	Inconsistent association between the STK15 F31I genetic polymorphism and breast cancer risk.	breast cancer	F31I	
